Household,Ouside Temperature (F),Climate,Room Temperature (F),Hour,Predicted Consumption - Before Optimization(KWH),Predicted Consumption - After Optmization(KWH),Actual Consumption (KWH),Predicted Price ($/KWH),Actual Price ($/KWH),Cost to the Marketer - Predicted - Before Optimization($),Cost to the Marketer - Predicted - After Optimization($),Cost to the Marketer - Actual($),Cost to the Consumer - Predicted - Before Optimization($),Cost to the Consumer - Predicted - After Optimization($),Cost to the Consumer - Actual($)
House B,75,Normal,76,22,3.2737976419,1.47015,1.42805,0.034404,0.03477,0.1126317341,0.0505790406,0.0496532985,0.3273797642,0.147015,0.142805
House B,73.9,Normal,76,23,2.767905537,1.22651,1.30221,0.043842,0.04409,0.1213505146,0.0537726514,0.0574144389,0.2767905537,0.122651,0.130221
House B,72,Normal,76,24,3.0057992476,1.11537,1.16427,0.036362,0.02734,0.1092968722,0.0405570839,0.0318311418,0.3005799248,0.111537,0.116427
House C,42.1,Cold,72,1,,,1.81754,,0.01907,,,,,,
House C,42.1,Cold,72,2,,,1.59479,,0.00558,,,,,,
House C,39.9,Cold,72,3,,,1.42846,,0.03016,,,,,,
House C,39.2,Cold,72,4,,,1.2881,,0.03114,,,,,,
House C,39,Cold,72,5,,,1.21383,,0.0173,,,,,,
House C,37.9,Cold,72,6,,,1.19391,,0.0313,,,,,,
House C,36,Cold,72,7,,,1.18394,,0.0256,,,,,,
House C,42.1,Cold,72,8,,,1.29287,,0.0089,,,,,,
House C,48.9,Cold,72,9,,,1.41866,,0.01887,,,,,,
House C,55.9,Cold,72,10,,,1.58646,,0.0213,,,,,,
House C,62.1,Cold,72,11,,,1.76002,,0.02551,,,,,,
House C,64.9,Cold,72,12,,,1.8916,,0.04746,,,,,,
House C,70,Cold,72,13,3.2761313115,2.00995,2.02642,0.0566,0.05893,0.1854290322,0.11376317,0.1194169306,0.3276131312,0.200995,0.202642
House C,72,Cold,72,14,3.4530326038,2.23277,2.2381,0.05665,0.05819,0.195614297,0.1264864205,0.130235039,0.3453032604,0.223277,0.22381
House C,73,Cold,72,15,3.7477538632,2.44139,2.46221,0.137071,0.14244,0.5137083698,0.3346437687,0.3507171924,0.3747753863,0.244139,0.246221
House C,73,Cold,72,16,3.6824934378,2.6369,2.66875,0.424417,0.42027,1.5629128174,1.1191451873,1.1215955625,0.3682493438,0.26369,0.266875
House C,71.1,Cold,72,17,4.2069541952,2.81116,2.81387,0.534748,0.5295,2.249660342,1.5032621877,1.489944165,0.4206954195,0.281116,0.281387
House C,66.9,Cold,72,18,4.4493930511,2.8336,2.83496,0.137562,0.1276,0.6120674069,0.3897956832,0.361740896,0.4449393051,0.28336,0.283496
House C,64,Cold,72,19,4.0966128032,2.82672,2.80796,0.076781,0.07844,0.3145420276,0.2170383883,0.2202563824,0.4096612803,0.282672,0.280796
House C,61,Cold,72,20,4.2195620133,2.65553,2.64262,0.037454,0.04315,0.1580394756,0.0994602206,0.114029053,0.4219562013,0.265553,0.264262
House C,60.1,Cold,72,21,4.2669309839,2.66138,2.62768,0.049864,0.04674,0.2127662466,0.1327070523,0.1228177632,0.4266930984,0.266138,0.262768
House C,64,Cold,72,22,3.7847507125,2.46343,2.52373,0.045292,0.03894,0.1714189293,0.1115736716,0.0982740462,0.3784750712,0.246343,0.252373
House C,62.1,Cold,72,23,3.9368103869,2.28059,2.31709,0.041392,0.03589,0.1629524555,0.0943981813,0.0831603601,0.3936810387,0.228059,0.231709
House C,57.2,Cold,72,24,3.3305874256,2.01373,2.02953,0.026455,0.0315,0.0881106903,0.0532732272,0.063930195,0.3330587426,0.201373,0.202953
House C,42.1,Cold,74,1,,,1.79947,,0.01907,,,,,,
House C,42.1,Cold,74,2,,,1.5827,,0.00558,,,,,,
House C,39.9,Cold,74,3,,,1.43036,,0.03016,,,,,,
House C,39.2,Cold,74,4,,,1.31508,,0.03114,,,,,,
House C,39,Cold,74,5,,,1.23313,,0.0173,,,,,,
House C,37.9,Cold,74,6,,,1.23715,,0.0313,,,,,,
House C,36,Cold,74,7,,,1.43771,,0.0256,,,,,,
House C,42.1,Cold,74,8,,,1.58531,,0.0089,,,,,,
House C,48.9,Cold,74,9,,,1.5274,,0.01887,,,,,,
House C,55.9,Cold,74,10,,,1.59933,,0.0213,,,,,,
House C,62.1,Cold,74,11,,,1.56324,,0.02551,,,,,,
House C,64.9,Cold,74,12,,,1.6915,,0.04746,,,,,,
House C,70,Cold,74,13,3.0512685617,1.90911,1.90769,0.0566,0.05893,0.1727018006,0.108055626,0.1124201717,0.3051268562,0.190911,0.190769
House C,72,Cold,74,14,3.8661870889,2.08792,2.07278,0.05665,0.05819,0.2190194986,0.118280668,0.1206150682,0.3866187089,0.208792,0.207278
House C,73,Cold,74,15,3.9338456843,2.3542,2.36738,0.137071,0.14244,0.5392161618,0.3226925482,0.3372096072,0.3933845684,0.23542,0.236738
House C,73,Cold,74,16,4.55862084,2.69481,2.65964,0.424417,0.42027,1.934756181,1.1437231758,1.1177669028,0.455862084,0.269481,0.265964
House C,71.1,Cold,74,17,4.4971889007,2.9302,2.93413,0.534748,0.5295,2.4048627703,1.5669185896,1.553621835,0.4497188901,0.29302,0.293413
House C,66.9,Cold,74,18,5.0613000426,3.11962,3.11212,0.137562,0.1276,0.6962425565,0.4291411664,0.397106512,0.5061300043,0.311962,0.311212
House C,64,Cold,74,19,4.7648231559,3.15153,3.17518,0.076781,0.07844,0.3658478867,0.2419776249,0.2490611192,0.4764823156,0.315153,0.317518
House C,61,Cold,74,20,3.9128783861,2.87502,2.87769,0.037454,0.04315,0.1465529471,0.1076809991,0.1241723235,0.3912878386,0.287502,0.287769
House C,60.1,Cold,74,21,4.3893466627,2.89698,2.83848,0.049864,0.04674,0.218870382,0.1444550107,0.1326705552,0.4389346663,0.289698,0.283848
House C,64,Cold,74,22,4.628165596,2.78214,2.74444,0.045292,0.03894,0.2096188762,0.1260086849,0.1068684936,0.4628165596,0.278214,0.274444
House C,62.1,Cold,74,23,3.8733770948,2.493,2.4389,0.041392,0.03589,0.1603268247,0.103190256,0.087532121,0.3873377095,0.2493,0.24389
House C,57.2,Cold,74,24,3.205628362,2.02837,2.11397,0.026455,0.0315,0.0848048983,0.0536605284,0.066590055,0.3205628362,0.202837,0.211397
House C,42.1,Cold,76,1,,,1.62225,,0.01907,,,,,,
House C,42.1,Cold,76,2,,,1.41801,,0.00558,,,,,,
House C,39.9,Cold,76,3,,,1.29205,,0.03016,,,,,,
House C,39.2,Cold,76,4,,,1.2103,,0.03114,,,,,,
House C,39,Cold,76,5,,,1.17629,,0.0173,,,,,,
House C,37.9,Cold,76,6,,,1.19566,,0.0313,,,,,,
House C,36,Cold,76,7,,,1.42387,,0.0256,,,,,,
House C,42.1,Cold,76,8,,,1.58608,,0.0089,,,,,,
House C,48.9,Cold,76,9,,,1.44735,,0.01887,,,,,,
House C,55.9,Cold,76,10,,,1.49439,,0.0213,,,,,,
House C,62.1,Cold,76,11,,,1.61132,,0.02551,,,,,,
House C,64.9,Cold,76,12,,,1.77864,,0.04746,,,,,,
House C,70,Cold,76,13,3.4302460831,1.94299,1.95629,0.0566,0.05893,0.1941519283,0.109973234,0.1152841697,0.3430246083,0.194299,0.195629
House C,72,Cold,76,14,3.5578695896,2.12505,2.1456,0.05665,0.05819,0.2015533122,0.1203840825,0.124852464,0.355786959,0.212505,0.21456
House C,73,Cold,76,15,3.9753535164,2.37184,2.38372,0.137071,0.14244,0.5449056819,0.3251104806,0.3395370768,0.3975353516,0.237184,0.238372
House C,73,Cold,76,16,4.4839123284,2.6633,2.65446,0.424417,0.42027,1.9030486187,1.1303497961,1.1155899042,0.4483912328,0.26633,0.265446
House C,71.1,Cold,76,17,4.4401848654,2.92899,2.93958,0.534748,0.5295,2.3743799764,1.5662715445,1.55650761,0.4440184865,0.292899,0.293958
House C,66.9,Cold,76,18,4.2998622569,3.12883,3.13066,0.137562,0.1276,0.5914976518,0.4304081125,0.399472216,0.4299862257,0.312883,0.313066
House C,64,Cold,76,19,5.0979022177,3.22839,3.2468,0.076781,0.07844,0.3914220302,0.2478790126,0.254678992,0.5097902218,0.322839,0.32468
House C,61,Cold,76,20,4.9864890575,3.11042,3.10281,0.037454,0.04315,0.1867639612,0.1164976707,0.1338862515,0.4986489057,0.311042,0.310281
House C,60.1,Cold,76,21,4.19253684,3.00758,3.09358,0.049864,0.04674,0.209056657,0.1499699691,0.1445939292,0.419253684,0.300758,0.309358
House C,64,Cold,76,22,4.347365545,2.90924,2.99324,0.045292,0.03894,0.1969008803,0.1317652981,0.1165567656,0.4347365545,0.290924,0.299324
House C,62.1,Cold,76,23,4.1733552329,2.66954,2.59914,0.041392,0.03589,0.1727435198,0.1104975997,0.0932831346,0.4173355233,0.266954,0.259914
House C,57.2,Cold,76,24,3.6181086304,2.24451,2.14531,0.026455,0.0315,0.0957170638,0.0593785121,0.067577265,0.361810863,0.224451,0.214531
House C,93,Hot,72,1,,,1.813,,0.02897,,,,,,
House C,91,Hot,72,2,,,1.582,,0.02519,,,,,,
House C,90,Hot,72,3,,,1.417,,0.02447,,,,,,
House C,91,Hot,72,4,,,1.288,,0.02334,,,,,,
House C,90,Hot,72,5,,,1.212,,0.02317,,,,,,
House C,89.1,Hot,72,6,,,1.192,,0.024,,,,,,
House C,87.1,Hot,72,7,,,1.192,,0.02456,,,,,,
House C,88,Hot,72,8,,,1.304,,0.02522,,,,,,
House C,90,Hot,72,9,,,1.414,,0.02657,,,,,,
House C,93,Hot,72,10,,,1.597,,0.03097,,,,,,
House C,96.1,Hot,72,11,,,1.75,,0.03677,,,,,,
House C,99,Hot,72,12,,,1.889,,0.04418,,,,,,
House C,102.2,Hot,72,13,3.1953506521,2.02633,2.025,0.054666,0.05032,0.1746770387,0.1107713558,0.101898,0.3195350652,0.202633,0.2025
House C,104,Hot,72,14,3.7818835047,2.23322,2.228,0.060644,0.06516,0.2293485433,0.1354313937,0.14517648,0.3781883505,0.223322,0.2228
House C,106,Hot,72,15,3.771458762,2.44094,2.446,0.119949,0.12441,0.452382707,0.2927883121,0.30430686,0.3771458762,0.244094,0.2446
House C,106,Hot,72,16,4.4687603297,2.64902,2.654,0.430906,0.423,1.9256156386,1.1414786121,1.122642,0.446876033,0.264902,0.2654
House C,107.1,Hot,72,17,4.1887211231,2.80695,2.813,0.535123,0.529,2.2414810135,1.5020635049,1.488077,0.4188721123,0.280695,0.2813
House C,105.1,Hot,72,18,4.037647531,2.83737,2.832,0.127012,0.13459,0.5128296882,0.3603800384,0.38115888,0.4037647531,0.283737,0.2832
House C,105.1,Hot,72,19,4.6006481734,2.83047,2.823,0.081082,0.07174,0.3730297552,0.2295001685,0.20252202,0.4600648173,0.283047,0.2823
House C,102.2,Hot,72,20,4.1834555933,2.65212,2.651,0.059275,0.05249,0.2479743303,0.157204413,0.13915099,0.4183455593,0.265212,0.2651
House C,99,Hot,72,21,4.3264247447,2.6565,2.629,0.057951,0.04893,0.2507206404,0.1539468315,0.12863697,0.4326424745,0.26565,0.2629
House C,99,Hot,72,22,4.2220626232,2.5227,2.528,0.043248,0.04307,0.1825957643,0.1091017296,0.10888096,0.4222062623,0.25227,0.2528
House C,97,Hot,72,23,4.0136205686,2.3283,2.314,0.040821,0.03954,0.1638400052,0.0950435343,0.09149556,0.4013620569,0.23283,0.2314
House C,96.1,Hot,72,24,3.1607957427,1.9592,2.035,0.041011,0.03375,0.1296273942,0.0803487512,0.06868125,0.3160795743,0.19592,0.2035
House C,93,Hot,74,1,,,1.801,,0.02897,,,,,,
House C,91,Hot,74,2,,,1.574,,0.02519,,,,,,
House C,90,Hot,74,3,,,1.423,,0.02447,,,,,,
House C,91,Hot,74,4,,,1.311,,0.02334,,,,,,
House C,90,Hot,74,5,,,1.23,,0.02317,,,,,,
House C,89.1,Hot,74,6,,,1.25,,0.024,,,,,,
House C,87.1,Hot,74,7,,,1.448,,0.02456,,,,,,
House C,88,Hot,74,8,,,1.575,,0.02522,,,,,,
House C,90,Hot,74,9,,,1.533,,0.02657,,,,,,
House C,93,Hot,74,10,,,1.59,,0.03097,,,,,,
House C,96.1,Hot,74,11,,,1.573,,0.03677,,,,,,
House C,99,Hot,74,12,,,1.696,,0.04418,,,,,,
House C,102.2,Hot,74,13,3.1624865806,1.89844,1.904,0.054666,0.05032,0.1728804914,0.103780121,0.09580928,0.3162486581,0.189844,0.1904
House C,104,Hot,74,14,3.1951682376,2.08006,2.075,0.060644,0.06516,0.1937677826,0.1261431586,0.135207,0.3195168238,0.208006,0.2075
House C,106,Hot,74,15,4.0081258134,2.35705,2.362,0.119949,0.12441,0.4807706832,0.2827257905,0.29385642,0.4008125813,0.235705,0.2362
House C,106,Hot,74,16,4.62619969,2.68371,2.677,0.430906,0.423,1.9934572036,1.1564267413,1.132371,0.462619969,0.268371,0.2677
House C,107.1,Hot,74,17,4.2522921813,2.93856,2.945,0.535123,0.529,2.2754993489,1.5724910429,1.557905,0.4252292181,0.293856,0.2945
House C,105.1,Hot,74,18,4.6696319843,3.12659,3.117,0.127012,0.13459,0.5930992976,0.3971144491,0.41951703,0.4669631984,0.312659,0.3117
House C,105.1,Hot,74,19,4.5724318889,3.15258,3.16,0.081082,0.07174,0.3707419224,0.2556174916,0.2266984,0.4572431889,0.315258,0.316
House C,102.2,Hot,74,20,4.0618520135,2.87672,2.883,0.059275,0.05249,0.2407662781,0.170517578,0.15132867,0.4061852013,0.287672,0.2883
House C,99,Hot,74,21,4.5655370201,2.9358,2.842,0.057951,0.04893,0.2645774359,0.1701325458,0.13905906,0.456553702,0.29358,0.2842
House C,99,Hot,74,22,3.8987675216,2.7069,2.738,0.043248,0.04307,0.1686138978,0.1170680112,0.11792566,0.3898767522,0.27069,0.2738
House C,97,Hot,74,23,4.2804373344,2.3574,2.449,0.040821,0.03954,0.1747317324,0.0962314254,0.09683346,0.4280437334,0.23574,0.2449
House C,96.1,Hot,74,24,3.1623830734,2.0899,2.127,0.041011,0.03375,0.1296924922,0.0857088889,0.07178625,0.3162383073,0.20899,0.2127
House C,93,Hot,76,1,,,1.625,,0.02897,,,,,,
House C,91,Hot,76,2,,,1.412,,0.02519,,,,,,
House C,90,Hot,76,3,,,1.296,,0.02447,,,,,,
House C,91,Hot,76,4,,,1.202,,0.02334,,,,,,
House C,90,Hot,76,5,,,1.162,,0.02317,,,,,,
House C,89.1,Hot,76,6,,,1.193,,0.024,,,,,,
House C,87.1,Hot,76,7,,,1.429,,0.02456,,,,,,
House C,88,Hot,76,8,,,1.577,,0.02522,,,,,,
House C,90,Hot,76,9,,,1.454,,0.02657,,,,,,
House C,93,Hot,76,10,,,1.496,,0.03097,,,,,,
House C,96.1,Hot,76,11,,,1.617,,0.03677,,,,,,
House C,99,Hot,76,12,,,1.777,,0.04418,,,,,,
House C,102.2,Hot,76,13,3.6794022105,1.95633,1.95,0.054666,0.05032,0.2011382012,0.1069447358,0.098124,0.3679402211,0.195633,0.195
House C,104,Hot,76,14,3.7582365433,2.14062,2.139,0.060644,0.06516,0.2279144969,0.1298157593,0.13937724,0.3758236543,0.214062,0.2139
House C,106,Hot,76,15,4.1811833489,2.37102,2.381,0.119949,0.12441,0.5015287615,0.284401478,0.29622021,0.4181183349,0.237102,0.2381
House C,106,Hot,76,16,4.4150615,2.66178,2.654,0.430906,0.423,1.9024764907,1.1469769727,1.122642,0.44150615,0.266178,0.2654
House C,107.1,Hot,76,17,4.1513775214,2.93104,2.928,0.535123,0.529,2.2214975934,1.5684669179,1.548912,0.4151377521,0.293104,0.2928
House C,105.1,Hot,76,18,4.8602967794,3.14483,3.148,0.127012,0.13459,0.6173160145,0.399431148,0.42368932,0.4860296779,0.314483,0.3148
House C,105.1,Hot,76,19,4.9424547501,3.23817,3.238,0.081082,0.07174,0.400744116,0.2625572999,0.23229412,0.494245475,0.323817,0.3238
House C,102.2,Hot,76,20,4.5664904514,3.11021,3.116,0.059275,0.05249,0.2706787215,0.1843576978,0.16355884,0.4566490451,0.311021,0.3116
House C,99,Hot,76,21,5.0474840941,3.0858,3.087,0.057951,0.04893,0.2925067507,0.1788251958,0.15104691,0.5047484094,0.30858,0.3087
House C,99,Hot,76,22,4.9539072154,2.9375,2.993,0.043248,0.04307,0.2142465793,0.127041,0.12890851,0.4953907215,0.29375,0.2993
House C,97,Hot,76,23,4.1850111393,2.5392,2.614,0.040821,0.03954,0.1708363397,0.1036526832,0.10335756,0.4185011139,0.25392,0.2614
House C,96.1,Hot,76,24,3.2288758131,2.066,2.135,0.041011,0.03375,0.132419426,0.084728726,0.07205625,0.3228875813,0.2066,0.2135
House C,69.1,Normal,72,1,,,1.81424,,0.02801,,,,,,
House C,66.9,Normal,72,2,,,1.59168,,0.01557,,,,,,
House C,64.9,Normal,72,3,,,1.42385,,0.02882,,,,,,
House C,66.2,Normal,72,4,,,1.29788,,0.03295,,,,,,
House C,64,Normal,72,5,,,1.20808,,0.02559,,,,,,
House C,62.6,Normal,72,6,,,1.18584,,0.02597,,,,,,
House C,68,Normal,72,7,,,1.18234,,0.02125,,,,,,
House C,66.9,Normal,72,8,,,1.29744,,0.01583,,,,,,
House C,69.1,Normal,72,9,,,1.41277,,0.01724,,,,,,
House C,72,Normal,72,10,,,1.59509,,0.03097,,,,,,
House C,75.9,Normal,72,11,,,1.75701,,0.03415,,,,,,
House C,80.1,Normal,72,12,,,1.89308,,0.04353,,,,,,
House C,82.9,Normal,72,13,3.4637683578,2.01985,2.01932,0.054117,0.05889,0.1874487522,0.1093082225,0.1189177548,0.3463768358,0.201985,0.201932
House C,84.9,Normal,72,14,3.7703430435,2.23277,2.23137,0.06308,0.06782,0.2378332392,0.1408431316,0.1513315134,0.3770343044,0.223277,0.223137
House C,86,Normal,72,15,4.2363265351,2.44143,2.45447,0.142243,0.13435,0.6025877953,0.3472763275,0.3297580445,0.4236326535,0.244143,0.245447
House C,86,Normal,72,16,4.0331475758,2.64475,2.65884,0.42499,0.41882,1.7140473882,1.1239923025,1.1135753688,0.4033147576,0.264475,0.265884
House C,87.1,Normal,72,17,3.9651008218,2.81075,2.80866,0.527543,0.53457,2.0917611828,1.4827914873,1.5014253762,0.3965100822,0.281075,0.280866
House C,86,Normal,72,18,4.1163573491,2.83406,2.8278,0.125703,0.12869,0.5174384679,0.3562498442,0.363909582,0.4116357349,0.283406,0.28278
House C,81,Normal,72,19,4.765715313,2.82498,2.81638,0.080257,0.07651,0.3824820139,0.2267244199,0.2154812338,0.4765715313,0.282498,0.281638
House C,77,Normal,72,20,4.5303748806,2.64842,2.64396,0.038438,0.0467,0.1741385497,0.101799968,0.123472932,0.4530374881,0.264842,0.264396
House C,79,Normal,72,21,4.3952775595,2.71283,2.62613,0.037551,0.04682,0.1650470676,0.1018694793,0.1229554066,0.439527756,0.271283,0.262613
House C,75,Normal,72,22,3.6534299585,2.57485,2.53175,0.034404,0.03477,0.1256926043,0.0885851394,0.0880289475,0.3653429958,0.257485,0.253175
House C,73.9,Normal,72,23,3.5743750928,2.235,2.3169,0.043842,0.04409,0.1567077528,0.09798687,0.102152121,0.3574375093,0.2235,0.23169
House C,72,Normal,72,24,3.0848372265,1.9795,2.0341,0.036362,0.02734,0.1121708512,0.071978579,0.055612294,0.3084837227,0.19795,0.20341
House C,69.1,Normal,74,1,,,1.80849,,0.02801,,,,,,
House C,66.9,Normal,74,2,,,1.57981,,0.01557,,,,,,
House C,64.9,Normal,74,3,,,1.42218,,0.02882,,,,,,
House C,66.2,Normal,74,4,,,1.30694,,0.03295,,,,,,
House C,64,Normal,74,5,,,1.23678,,0.02559,,,,,,
House C,62.6,Normal,74,6,,,1.24219,,0.02597,,,,,,
House C,68,Normal,74,7,,,1.44434,,0.02125,,,,,,
House C,66.9,Normal,74,8,,,1.5766,,0.01583,,,,,,
House C,69.1,Normal,74,9,,,1.52468,,0.01724,,,,,,
House C,72,Normal,74,10,,,1.59436,,0.03097,,,,,,
House C,75.9,Normal,74,11,,,1.57048,,0.03415,,,,,,
House C,80.1,Normal,74,12,,,1.68809,,0.04353,,,,,,
House C,82.9,Normal,74,13,3.0238346014,1.9084,1.90374,0.054117,0.05889,0.1636408571,0.1032768828,0.1121112486,0.3023834601,0.19084,0.190374
House C,84.9,Normal,74,14,3.6496097061,2.08671,2.0811,0.06308,0.06782,0.2302173803,0.1316296668,0.141140202,0.3649609706,0.208671,0.20811
House C,86,Normal,74,15,3.9391987044,2.35101,2.35876,0.142243,0.13435,0.5603234413,0.3344147154,0.316899406,0.3939198704,0.235101,0.235876
House C,86,Normal,74,16,4.3252014872,2.69306,2.6691,0.42499,0.41882,1.8381673801,1.1445235694,1.117872462,0.4325201487,0.269306,0.26691
House C,87.1,Normal,74,17,3.9885162139,2.93252,2.94313,0.527543,0.53457,2.104113809,1.5470303984,1.5733090041,0.3988516214,0.293252,0.294313
House C,86,Normal,74,18,5.0429919551,3.12029,3.11026,0.125703,0.12869,0.6339192177,0.3922298139,0.4002593594,0.5042991955,0.312029,0.311026
House C,81,Normal,74,19,4.8690646161,3.14965,3.16734,0.080257,0.07651,0.3907765189,0.2527814601,0.2423331834,0.4869064616,0.314965,0.316734
House C,77,Normal,74,20,4.8751086822,2.87254,2.88238,0.038438,0.0467,0.1873894275,0.1104146925,0.134607146,0.4875108682,0.287254,0.288238
House C,79,Normal,74,21,4.7390263476,2.87656,2.84726,0.037551,0.04682,0.1779551784,0.1080177046,0.1333087132,0.4739026348,0.287656,0.284726
House C,75,Normal,74,22,4.4791631085,2.83098,2.73668,0.034404,0.03477,0.1541011276,0.0973970359,0.0951543636,0.4479163108,0.283098,0.273668
House C,73.9,Normal,74,23,4.0260273156,2.43714,2.44354,0.043842,0.04409,0.1765090896,0.1068490919,0.1077356786,0.4026027316,0.243714,0.244354
House C,72,Normal,74,24,3.8907081496,2.08805,2.12285,0.036362,0.02734,0.1414739297,0.0759256741,0.058038719,0.389070815,0.208805,0.212285
House C,69.1,Normal,76,1,,,1.62094,,0.02801,,,,,,
House C,66.9,Normal,76,2,,,1.41007,,0.01557,,,,,,
House C,64.9,Normal,76,3,,,1.28637,,0.02882,,,,,,
House C,66.2,Normal,76,4,,,1.20211,,0.03295,,,,,,
House C,64,Normal,76,5,,,1.17155,,0.02559,,,,,,
House C,62.6,Normal,76,6,,,1.19582,,0.02597,,,,,,
House C,68,Normal,76,7,,,1.42514,,0.02125,,,,,,
House C,66.9,Normal,76,8,,,1.58529,,0.01583,,,,,,
House C,69.1,Normal,76,9,,,1.44951,,0.01724,,,,,,
House C,72,Normal,76,10,,,1.49094,,0.03097,,,,,,
House C,75.9,Normal,76,11,,,1.62104,,0.03415,,,,,,
House C,80.1,Normal,76,12,,,1.77631,,0.04353,,,,,,
House C,82.9,Normal,76,13,3.6024392112,1.9491,1.94886,0.054117,0.05889,0.1949532028,0.1054794447,0.1147683654,0.3602439211,0.19491,0.194886
House C,84.9,Normal,76,14,4.0812314687,2.13087,2.13697,0.06308,0.06782,0.257444081,0.1344152796,0.1449293054,0.4081231469,0.213087,0.213697
House C,86,Normal,76,15,4.2497580535,2.36315,2.38646,0.142243,0.13435,0.6044983348,0.3361415455,0.320620901,0.4249758053,0.236315,0.238646
House C,86,Normal,76,16,3.984419566,2.6713,2.64636,0.42499,0.41882,1.6933384714,1.135275787,1.1083484952,0.3984419566,0.26713,0.264636
House C,87.1,Normal,76,17,4.0451038287,2.9252,2.92997,0.527543,0.53457,2.1339662091,1.5431687836,1.5662740629,0.4045103829,0.29252,0.292997
House C,86,Normal,76,18,5.0726558146,3.13814,3.13802,0.125703,0.12869,0.6376480539,0.3944736124,0.4038317938,0.5072655815,0.313814,0.313802
House C,81,Normal,76,19,4.73095276,3.23153,3.24425,0.080257,0.07651,0.3796920757,0.2593529032,0.2482175675,0.473095276,0.323153,0.324425
House C,77,Normal,76,20,4.1345547017,3.11453,3.10662,0.038438,0.0467,0.1589240136,0.1197163041,0.145079154,0.4134554702,0.311453,0.310662
House C,79,Normal,76,21,4.1429074691,3.12668,3.08728,0.037551,0.04682,0.1555703184,0.1174099607,0.1445464496,0.4142907469,0.312668,0.308728
House C,75,Normal,76,22,4.4043064369,2.96129,2.99289,0.034404,0.03477,0.1515257587,0.1018802212,0.1040627853,0.4404306437,0.296129,0.299289
